t,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
5.245208740234375e-06,-0.0,-0.0,0.09247677263821907,-0.14208583730241006,0.0,0.0,-0.09247677263821907,0.14208583730241006,-5.2002658925534844e-05,8.403171780172707e-05,-0.017651502043008804,-0.007883096113801003
0.014132261276245117,0.16113782289895084,0.3662108376339859,-1.6127076612783278,1.1171306928867704,-0.16113782289895084,-0.3662108376339859,1.6127076612783278,-1.1171306928867704,0.000846777301675673,-0.0004958211088783072,0.020120106637477875,-0.013414657674729824
0.02536463737487793,0.16113782289895084,0.3662108376339859,-1.3865842169647122,0.989709351773657,-0.16113782289895084,-0.3662108376339859,1.3865842169647122,-0.989709351773657,0.0024723150150772004,-0.001648857986138296,0.01832599565386772,-0.0128554105758667
0.036597490310668945,0.16113782289895084,0.3662108376339859,-1.253803952117489,0.8396151977106864,-0.16113782289895084,-0.3662108376339859,1.253803952117489,-0.8396151977106864,0.003637040184940847,-0.002462844213241066,0.021779919043183327,-0.012640845030546188
0.04783368110656738,0.16113782289895084,0.3662108376339859,-1.0942380332230033,0.7688168185080663,-0.16113782289895084,-0.3662108376339859,1.0942380332230033,-0.7688168185080663,0.0044410199302757115,-0.003016570794552956,0.028043247759342194,-0.007895611226558685
0.060011863708496094,0.1757817484794515,0.3662108376339859,-0.9513627487825014,0.6725986096487744,-0.1757817484794515,-0.3662108376339859,0.9513627487825014,-0.6725986096487744,0.0049266799392525765,-0.0033757139566856914,0.03194750100374222,-0.009074500761926174
0.07124114036560059,0.16113782289895084,0.3662108376339859,-0.8345093645018373,0.5759324897903177,-0.16113782289895084,-0.3662108376339859,0.8345093645018373,-0.5759324897903177,0.005162459326436324,-0.003550753198073036,0.033312514424324036,-0.008442845195531845
0.08246231079101562,0.16113782289895084,0.3515634969588959,-0.7510289781969433,0.5055084903315791,-0.16113782289895084,-0.3515634969588959,0.7510289781969433,-0.5055084903315791,0.005218486248837747,-0.0035827614099243066,0.030183827504515648,-0.01276490930467844
0.09368610382080078,0.16113782289895084,0.3662108376339859,-0.6513994100123474,0.473607344761094,-0.16113782289895084,-0.3662108376339859,0.6513994100123474,-0.473607344761094,0.0051309181106395825,-0.0035308587296000848,0.03547272831201553,-0.010668665170669556
0.10598349571228027,0.16113782289895084,0.3662108376339859,-0.564718706555332,0.4124966550812114,-0.16113782289895084,-0.3662108376339859,0.564718706555332,-0.4124966550812114,0.004919014215804503,-0.003413053666890464,0.03799258917570114,-0.009964651428163052
0.11724424362182617,0.16113782289895084,0.3515634969588959,-0.4932690047823277,0.3632115041342804,-0.16113782289895084,-0.3515634969588959,0.4932690047823277,-0.3632115041342804,0.004618513954709365,-0.003229109864873723,0.037431731820106506,-0.00754619250074029
0.12842082977294922,0.16113782289895084,0.3662108376339859,-0.445916183720702,0.31938500835551176,-0.16113782289895084,-0.3662108376339859,0.445916183720702,-0.31938500835551176,0.004267034634466779,-0.0029997134671933463,0.030878189951181412,-0.006964327301830053
0.13958144187927246,0.16113782289895084,0.3515634969588959,-0.3890349286017912,0.27203733661619,-0.16113782289895084,-0.3515634969588959,0.3890349286017912,-0.27203733661619,0.0038825360294944032,-0.0027340362753428423,0.026939546689391136,-0.0014976809034124017
0.1507246494293213,0.1464870671292715,0.3515634969588959,-0.3571712690304619,0.27725688180254915,-0.1464870671292715,-0.3515634969588959,0.3571712690304619,-0.27725688180254915,0.003480973300738343,-0.002467541667758661,0.02797590382397175,0.001397961052134633
0.16184234619140625,0.16113782289895084,0.3515634969588959,-0.3103777764288368,0.24606845046369907,-0.16113782289895084,-0.3515634969588959,0.3103777764288368,-0.24606845046369907,0.003072905220255696,-0.002211175234230629,0.03060268796980381,0.0003906764613930136
0.17409992218017578,0.16113782289895084,0.3662108376339859,-0.27047226280090503,0.23986407737638873,-0.16113782289895084,-0.3662108376339859,0.27047226280090503,-0.23986407737638873,0.002656829842335607,-0.0019581575605240003,0.0342206135392189,-0.003087277291342616
