t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-0.00000, -0.000 , -0.042 , -0.101 , 0.000  , 0.000  , 0.042  , 0.101  , 0.000  , 0.000  , -0.002 , -0.001 
0.14142 ,0.74707 , -1.538 , 0.029  , -0.040 , -0.747 , 1.538  , -0.029 , 0.040  , 0.000  , 0.000  , 0.003  , -0.000 
0.15458 ,0.73242 , -1.553 , -0.006 , -0.038 , -0.732 , 1.553  , 0.006  , 0.038  , 0.000  , 0.000  , 0.042  , -0.007 
0.16687 ,0.74707 , -1.538 , 0.052  , -0.002 , -0.747 , 1.538  , -0.052 , 0.002  , -0.000 , 0.000  , 0.042  , -0.010 
0.17884 ,0.73242 , -1.538 , 0.033  , 0.009  , -0.732 , 1.538  , -0.033 , -0.009 , -0.000 , 0.000  , 0.044  , -0.013 
0.19112 ,0.74707 , -1.538 , 0.040  , -0.002 , -0.747 , 1.538  , -0.040 , 0.002  , -0.000 , 0.000  , 0.041  , -0.012 
0.20293 ,0.73242 , -1.553 , 0.045  , -0.001 , -0.732 , 1.553  , -0.045 , 0.001  , -0.000 , 0.000  , 0.042  , -0.008 
0.21507 ,0.74707 , -1.538 , 0.066  , 0.030  , -0.747 , 1.538  , -0.066 , -0.030 , -0.001 , 0.000  , 0.040  , -0.009 
0.22696 ,0.74707 , -1.538 , 0.077  , -0.027 , -0.747 , 1.538  , -0.077 , 0.027  , -0.001 , 0.000  , 0.037  , -0.007 
0.23914 ,0.74707 , -1.538 , 0.067  , 0.010  , -0.747 , 1.538  , -0.067 , -0.010 , -0.001 , 0.000  , 0.044  , -0.010 
0.25097 ,0.74707 , -1.553 , 0.081  , -0.026 , -0.747 , 1.553  , -0.081 , 0.026  , -0.001 , 0.000  , 0.035  , -0.013 
0.26297 ,0.74707 , -1.553 , 0.091  , -0.039 , -0.747 , 1.553  , -0.091 , 0.039  , -0.001 , 0.000  , 0.041  , -0.006 
0.27481 ,0.74707 , -1.538 , 0.094  , -0.049 , -0.747 , 1.538  , -0.094 , 0.049  , -0.001 , 0.000  , 0.042  , -0.008 
0.28704 ,0.74707 , -1.553 , 0.083  , -0.047 , -0.747 , 1.553  , -0.083 , 0.047  , -0.001 , 0.000  , 0.046  , -0.016 
0.29895 ,0.74707 , -1.553 , 0.063  , -0.073 , -0.747 , 1.553  , -0.063 , 0.073  , -0.001 , 0.001  , 0.043  , -0.012 
0.31069 ,0.74707 , -1.553 , 0.009  , -0.132 , -0.747 , 1.553  , -0.009 , 0.132  , -0.001 , 0.001  , 0.041  , -0.010 
0.32347 ,0.77637 , -1.553 , 0.146  , -0.156 , -0.776 , 1.553  , -0.146 , 0.156  , -0.001 , 0.001  , 0.039  , -0.017 
0.33519 ,0.89355 , -1.553 , 0.935  , -0.162 , -0.894 , 1.553  , -0.935 , 0.162  , -0.003 , 0.002  , 0.027  , -0.009 
0.34694 ,1.05469 , -1.553 , 2.286  , -0.134 , -1.055 , 1.553  , -2.286 , 0.134  , -0.008 , 0.002  , 0.004  , -0.007 
0.35863 ,1.25977 , -1.553 , 3.936  , -0.117 , -1.260 , 1.553  , -3.936 , 0.117  , -0.018 , 0.002  , 0.012  , -0.013 
0.37061 ,1.46484 , -1.553 , 5.496  , -0.082 , -1.465 , 1.553  , -5.496 , 0.082  , -0.031 , 0.002  , -0.005 , -0.012 
0.38343 ,1.65527 , -1.553 , 6.871  , -0.083 , -1.655 , 1.553  , -6.871 , 0.083  , -0.048 , 0.002  , -0.003 , -0.011 
0.39567 ,1.83105 , -1.553 , 7.815  , -0.070 , -1.831 , 1.553  , -7.815 , 0.070  , -0.066 , 0.002  , 0.007  , -0.012 
0.40846 ,1.94824 , -1.553 , 8.238  , -0.063 , -1.948 , 1.553  , -8.238 , 0.063  , -0.084 , 0.002  , -0.006 , -0.016 
0.42152 ,2.03613 , -1.553 , 8.234  , -0.071 , -2.036 , 1.553  , -8.234 , 0.071  , -0.099 , 0.002  , -0.014 , -0.010 
0.43386 ,2.10938 , -1.553 , 7.890  , -0.060 , -2.109 , 1.553  , -7.890 , 0.060  , -0.111 , 0.001  , -0.003 , -0.012 
0.44559 ,2.12402 , -1.553 , 7.354  , -0.070 , -2.124 , 1.553  , -7.354 , 0.070  , -0.119 , 0.001  , 0.003  , -0.002 
0.46745 ,2.12402 , -1.553 , 5.833  , -0.082 , -2.124 , 1.553  , -5.833 , 0.082  , -0.121 , 0.001  , 0.008  , -0.003 
0.47911 ,2.12402 , -1.553 , 5.140  , -0.065 , -2.124 , 1.553  , -5.140 , 0.065  , -0.119 , 0.001  , 0.013  , -0.000 
0.49090 ,2.12402 , -1.553 , 4.491  , -0.100 , -2.124 , 1.553  , -4.491 , 0.100  , -0.114 , 0.001  , 0.016  , -0.000 
0.50342 ,2.13868 , -1.553 , 3.951  , -0.114 , -2.139 , 1.553  , -3.951 , 0.114  , -0.107 , 0.001  , 0.014  , -0.012 
0.51498 ,2.12402 , -1.538 , 3.445  , -0.112 , -2.124 , 1.538  , -3.445 , 0.112  , -0.098 , 0.001  , 0.018  , -0.010 
0.52663 ,2.12402 , -1.553 , 3.008  , -0.144 , -2.124 , 1.553  , -3.008 , 0.144  , -0.089 , 0.001  , 0.018  , -0.009 
0.53816 ,2.12402 , -1.553 , 2.647  , -0.163 , -2.124 , 1.553  , -2.647 , 0.163  , -0.079 , 0.002  , 0.015  , -0.015 
0.54959 ,2.12402 , -1.553 , 2.344  , -0.186 , -2.124 , 1.553  , -2.344 , 0.186  , -0.069 , 0.002  , 0.018  , -0.016 
0.56210 ,2.12402 , -1.553 , 2.054  , -0.174 , -2.124 , 1.553  , -2.054 , 0.174  , -0.059 , 0.002  , 0.016  , -0.013 
0.57460 ,2.12402 , -1.538 , 1.812  , -0.143 , -2.124 , 1.538  , -1.812 , 0.143  , -0.049 , 0.002  , 0.021  , -0.009 
0.59530 ,2.12402 , -1.553 , 1.480  , -0.153 , -2.124 , 1.553  , -1.480 , 0.153  , -0.039 , 0.002  , 0.014  , -0.012 
0.60704 ,2.12402 , -1.553 , 1.289  , -0.136 , -2.124 , 1.553  , -1.289 , 0.136  , -0.030 , 0.002  , 0.016  , -0.012 
0.62669 ,2.12402 , -1.553 , 1.023  , -0.163 , -2.124 , 1.553  , -1.023 , 0.163  , -0.021 , 0.002  , 0.018  , -0.011 
0.63948 ,2.09472 , -1.553 , 0.824  , -0.161 , -2.095 , 1.553  , -0.824 , 0.161  , -0.013 , 0.002  , 0.016  , -0.015 
0.65892 ,2.10938 , -1.553 , 0.649  , -0.121 , -2.109 , 1.553  , -0.649 , 0.121  , -0.004 , 0.002  , 0.020  , -0.015 
0.67076 ,2.09472 , -1.538 , 0.528  , -0.088 , -2.095 , 1.538  , -0.528 , 0.088  , 0.003  , 0.002  , 0.022  , -0.014 
0.68378 ,2.09472 , -1.538 , 0.469  , -0.105 , -2.095 , 1.538  , -0.469 , 0.105  , 0.010  , 0.002  , 0.019  , -0.016 
0.69648 ,2.09472 , -1.538 , 0.411  , -0.108 , -2.095 , 1.538  , -0.411 , 0.108  , 0.015  , 0.001  , 0.017  , -0.011 
0.70893 ,2.10938 , -1.553 , 0.372  , -0.116 , -2.109 , 1.553  , -0.372 , 0.116  , 0.021  , 0.001  , 0.022  , -0.017 
0.72062 ,2.09472 , -1.538 , 0.356  , -0.080 , -2.095 , 1.538  , -0.356 , 0.080  , 0.025  , 0.001  , 0.018  , -0.024 
0.73224 ,2.09472 , -1.553 , 0.339  , -0.061 , -2.095 , 1.553  , -0.339 , 0.061  , 0.028  , 0.001  , 0.020  , -0.021 
0.74392 ,2.09472 , -1.553 , 0.291  , -0.088 , -2.095 , 1.553  , -0.291 , 0.088  , 0.031  , 0.001  , 0.018  , -0.018 
0.75651 ,2.10938 , -1.538 , 0.269  , -0.051 , -2.109 , 1.538  , -0.269 , 0.051  , 0.034  , 0.001  , 0.022  , -0.018 
0.76820 ,2.09472 , -1.538 , 0.243  , -0.031 , -2.095 , 1.538  , -0.243 , 0.031  , 0.036  , 0.000  , 0.019  , -0.020 
0.77962 ,2.09472 , -1.523 , 0.215  , 0.094  , -2.095 , 1.523  , -0.215 , -0.094 , 0.038  , -0.000 , 0.020  , -0.021 
0.79101 ,2.10938 , -1.509 , 0.215  , 0.285  , -2.109 , 1.509  , -0.215 , -0.285 , 0.039  , -0.001 , 0.019  , -0.018 
0.80361 ,2.10938 , -1.509 , 0.267  , 0.315  , -2.109 , 1.509  , -0.267 , -0.315 , 0.040  , -0.002 , 0.021  , -0.017 
0.81576 ,2.12402 , -1.479 , 0.327  , 0.332  , -2.124 , 1.479  , -0.327 , -0.332 , 0.040  , -0.003 , 0.021  , -0.016 
0.83517 ,2.12402 , -1.494 , 0.271  , 0.312  , -2.124 , 1.494  , -0.271 , -0.312 , 0.040  , -0.004 , 0.021  , -0.015 
0.84695 ,2.10938 , -1.509 , 0.139  , 0.219  , -2.109 , 1.509  , -0.139 , -0.219 , 0.040  , -0.005 , 0.023  , -0.016 
0.85861 ,2.09472 , -1.494 , 0.058  , 0.210  , -2.095 , 1.494  , -0.058 , -0.210 , 0.040  , -0.005 , 0.020  , -0.021 
0.87134 ,2.09472 , -1.494 , 0.056  , 0.189  , -2.095 , 1.494  , -0.056 , -0.189 , 0.040  , -0.005 , 0.021  , -0.016 
0.88299 ,2.10938 , -1.494 , 0.099  , 0.165  , -2.109 , 1.494  , -0.099 , -0.165 , 0.040  , -0.005 , 0.020  , -0.017 
0.89465 ,2.10938 , -1.479 , 0.110  , 0.162  , -2.109 , 1.479  , -0.110 , -0.162 , 0.040  , -0.005 , 0.021  , -0.015 
0.90748 ,2.10938 , -1.494 , 0.163  , 0.115  , -2.109 , 1.494  , -0.163 , -0.115 , 0.039  , -0.005 , 0.019  , -0.011 
0.91918 ,2.10938 , -1.509 , 0.144  , 0.098  , -2.109 , 1.509  , -0.144 , -0.098 , 0.038  , -0.005 , 0.019  , -0.012 
0.93085 ,2.10938 , -1.494 , 0.233  , 0.109  , -2.109 , 1.494  , -0.233 , -0.109 , 0.037  , -0.005 , 0.023  , -0.006 
0.94968 ,2.12402 , -1.494 , 0.282  , 0.086  , -2.124 , 1.494  , -0.282 , -0.086 , 0.036  , -0.004 , 0.022  , -0.015 
0.96245 ,2.12402 , -1.494 , 0.265  , 0.079  , -2.124 , 1.494  , -0.265 , -0.079 , 0.034  , -0.004 , 0.021  , -0.015 
0.97398 ,2.12402 , -1.509 , 0.232  , 0.046  , -2.124 , 1.509  , -0.232 , -0.046 , 0.033  , -0.004 , 0.019  , -0.009 
0.98555 ,2.12402 , -1.494 , 0.227  , 0.026  , -2.124 , 1.494  , -0.227 , -0.026 , 0.032  , -0.003 , 0.022  , -0.008 
0.99854 ,2.12402 , -1.494 , 0.192  , 0.025  , -2.124 , 1.494  , -0.192 , -0.025 , 0.030  , -0.003 , 0.020  , -0.002 
1.01141 ,2.10938 , -1.494 , 0.183  , 0.037  , -2.109 , 1.494  , -0.183 , -0.037 , 0.029  , -0.002 , 0.020  , -0.002 
1.03206 ,2.12402 , -1.494 , 0.175  , 0.017  , -2.124 , 1.494  , -0.175 , -0.017 , 0.028  , -0.002 , 0.022  , -0.008 
1.04494 ,2.12402 , -1.494 , 0.206  , 0.002  , -2.124 , 1.494  , -0.206 , -0.002 , 0.027  , -0.002 , 0.022  , -0.011 
1.05774 ,2.12402 , -1.494 , 0.161  , -0.002 , -2.124 , 1.494  , -0.161 , 0.002  , 0.026  , -0.001 , 0.020  , -0.010 
