t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-0.00000, -0.000 , -0.105 , -0.107 , 0.000  , 0.000  , 0.105  , 0.107  , 0.000  , 0.000  , 0.026  , 0.016  
0.01778 ,-0.01464, -0.015 , -0.058 , -0.033 , 0.015  , 0.015  , 0.058  , 0.033  , 0.000  , 0.000  , 0.018  , 0.020  
0.03078 ,-0.01464, -0.015 , -0.038 , 0.051  , 0.015  , 0.015  , 0.038  , -0.051 , 0.000  , 0.000  , 0.025  , 0.017  
0.04378 ,-0.01464, -0.015 , -0.058 , 0.092  , 0.015  , 0.015  , 0.058  , -0.092 , 0.000  , 0.000  , 0.025  , 0.016  
0.05777 ,-0.01464, -0.000 , -0.034 , 0.093  , 0.015  , 0.000  , 0.034  , -0.093 , 0.000  , -0.000 , 0.027  , 0.010  
0.07078 ,-0.01464, -0.000 , -0.039 , 0.120  , 0.015  , 0.000  , 0.039  , -0.120 , 0.000  , -0.000 , 0.027  , 0.011  
0.08377 ,-0.01464, -0.015 , -0.033 , 0.048  , 0.015  , 0.015  , 0.033  , -0.048 , 0.000  , -0.001 , 0.029  , 0.008  
0.10377 ,-0.01464, -0.015 , -0.072 , -0.051 , 0.015  , 0.015  , 0.072  , 0.051  , 0.001  , -0.000 , 0.025  , 0.003  
0.11678 ,-0.01464, -0.015 , -0.025 , -0.067 , 0.015  , 0.015  , 0.025  , 0.067  , 0.001  , -0.000 , 0.025  , 0.010  
0.13178 ,-0.01464, -0.029 , -0.040 , -0.083 , 0.015  , 0.029  , 0.040  , 0.083  , 0.001  , -0.000 , 0.028  , 0.006  
0.14578 ,-0.01464, -0.015 , -0.033 , -0.113 , 0.015  , 0.015  , 0.033  , 0.113  , 0.001  , 0.000  , 0.027  , 0.008  
0.15894 ,-0.01464, -0.029 , -0.044 , -0.154 , 0.015  , 0.029  , 0.044  , 0.154  , 0.001  , 0.001  , 0.030  , 0.005  
0.17178 ,-0.01464, -0.029 , -0.046 , -0.148 , 0.015  , 0.029  , 0.046  , 0.148  , 0.001  , 0.001  , 0.033  , 0.013  
0.18478 ,-0.01464, -0.029 , -0.059 , -0.159 , 0.015  , 0.029  , 0.059  , 0.159  , 0.001  , 0.001  , 0.034  , 0.015  
0.19777 ,-0.01464, -0.015 , -0.023 , -0.162 , 0.015  , 0.015  , 0.023  , 0.162  , 0.001  , 0.001  , 0.036  , 0.016  
0.21077 ,-0.01464, -0.015 , -0.036 , -0.126 , 0.015  , 0.015  , 0.036  , 0.126  , 0.000  , 0.001  , 0.037  , 0.007  
0.22377 ,-0.01464, -0.029 , -0.010 , -0.128 , 0.015  , 0.029  , 0.010  , 0.128  , 0.000  , 0.001  , 0.038  , 0.008  
0.23784 ,-0.01464, -0.029 , -0.054 , -0.127 , 0.015  , 0.029  , 0.054  , 0.127  , 0.000  , 0.002  , 0.039  , 0.006  
0.25084 ,-0.01464, -0.029 , -0.042 , -0.117 , 0.015  , 0.029  , 0.042  , 0.117  , 0.000  , 0.002  , 0.042  , 0.009  
0.26478 ,-0.00000, -0.029 , -0.035 , -0.143 , 0.000  , 0.029  , 0.035  , 0.143  , 0.000  , 0.002  , 0.034  , 0.011  
0.27778 ,-0.01464, -0.029 , -0.058 , -0.133 , 0.015  , 0.029  , 0.058  , 0.133  , 0.000  , 0.002  , 0.038  , 0.010  
0.29077 ,-0.01464, -0.029 , -0.080 , -0.093 , 0.015  , 0.029  , 0.080  , 0.093  , 0.000  , 0.002  , 0.034  , 0.006  
0.30378 ,-0.01464, -0.029 , -0.050 , -0.100 , 0.015  , 0.029  , 0.050  , 0.100  , 0.000  , 0.002  , 0.031  , 0.006  
0.31778 ,-0.01464, -0.029 , -0.059 , -0.103 , 0.015  , 0.029  , 0.059  , 0.103  , 0.000  , 0.001  , 0.028  , 0.003  
0.33078 ,-0.01464, -0.029 , -0.060 , -0.108 , 0.015  , 0.029  , 0.060  , 0.108  , 0.001  , 0.001  , 0.028  , 0.005  
0.34377 ,-0.01464, -0.029 , -0.058 , -0.104 , 0.015  , 0.029  , 0.058  , 0.104  , 0.001  , 0.001  , 0.034  , 0.014  
0.35778 ,-0.01464, -0.044 , -0.054 , -0.137 , 0.015  , 0.044  , 0.054  , 0.137  , 0.001  , 0.001  , 0.026  , 0.012  
0.37088 ,-0.01464, -0.029 , -0.048 , -0.138 , 0.015  , 0.029  , 0.048  , 0.138  , 0.000  , 0.001  , 0.034  , 0.006  
0.38378 ,-0.01464, -0.029 , -0.047 , -0.112 , 0.015  , 0.029  , 0.047  , 0.112  , 0.000  , 0.001  , 0.034  , 0.011  
0.39778 ,-0.01464, -0.029 , -0.030 , -0.112 , 0.015  , 0.029  , 0.030  , 0.112  , 0.000  , 0.001  , 0.034  , 0.021  
0.41078 ,-0.01464, -0.029 , -0.033 , -0.096 , 0.015  , 0.029  , 0.033  , 0.096  , 0.000  , 0.001  , 0.031  , 0.016  
0.42378 ,-0.01464, -0.029 , -0.030 , -0.090 , 0.015  , 0.029  , 0.030  , 0.090  , 0.000  , 0.001  , 0.031  , 0.018  
0.43678 ,-0.01464, -0.029 , -0.026 , -0.065 , 0.015  , 0.029  , 0.026  , 0.065  , 0.000  , 0.001  , 0.023  , 0.017  
0.44978 ,-0.01464, -0.029 , -0.022 , -0.059 , 0.015  , 0.029  , 0.022  , 0.059  , 0.000  , 0.001  , 0.019  , 0.008  
0.46278 ,-0.01464, -0.029 , -0.019 , -0.057 , 0.015  , 0.029  , 0.019  , 0.057  , 0.000  , 0.001  , 0.018  , 0.011  
0.47677 ,-0.01464, -0.029 , -0.017 , -0.056 , 0.015  , 0.029  , 0.017  , 0.056  , 0.000  , 0.001  , 0.010  , 0.013  
0.49178 ,-0.01464, -0.029 , -0.016 , -0.043 , 0.015  , 0.029  , 0.016  , 0.043  , 0.000  , 0.000  , 0.017  , 0.013  
0.50478 ,-0.01464, -0.029 , 0.015  , -0.058 , 0.015  , 0.029  , -0.015 , 0.058  , -0.000 , 0.000  , 0.019  , 0.015  
0.51778 ,-0.01464, -0.029 , 0.001  , -0.020 , 0.015  , 0.029  , -0.001 , 0.020  , -0.000 , 0.000  , 0.016  , 0.016  
0.53078 ,-0.01464, -0.029 , 0.017  , 0.017  , 0.015  , 0.029  , -0.017 , -0.017 , -0.000 , 0.000  , 0.024  , 0.016  
0.54377 ,-0.01464, -0.029 , 0.002  , 0.022  , 0.015  , 0.029  , -0.002 , -0.022 , -0.000 , -0.000 , 0.024  , 0.011  
0.55677 ,-0.01464, -0.044 , 0.003  , 0.005  , 0.015  , 0.044  , -0.003 , -0.005 , -0.000 , -0.000 , 0.026  , 0.008  
0.56978 ,-0.01464, -0.029 , -0.002 , 0.035  , 0.015  , 0.029  , 0.002  , -0.035 , -0.000 , -0.001 , 0.034  , 0.005  
0.58278 ,-0.01464, -0.029 , -0.002 , 0.020  , 0.015  , 0.029  , 0.002  , -0.020 , -0.000 , -0.001 , 0.033  , 0.008  
0.59578 ,-0.01464, -0.044 , -0.001 , 0.022  , 0.015  , 0.044  , 0.001  , -0.022 , -0.000 , -0.001 , 0.026  , 0.011  
0.61079 ,-0.01464, -0.044 , 0.010  , 0.059  , 0.015  , 0.044  , -0.010 , -0.059 , -0.000 , -0.001 , 0.024  , 0.008  
0.62578 ,-0.01464, -0.044 , 0.007  , 0.096  , 0.015  , 0.044  , -0.007 , -0.096 , -0.000 , -0.001 , 0.026  , 0.003  
0.63878 ,-0.01464, -0.029 , 0.002  , 0.081  , 0.015  , 0.029  , -0.002 , -0.081 , -0.000 , -0.001 , 0.027  , 0.004  
0.65178 ,-0.01464, -0.029 , 0.004  , 0.087  , 0.015  , 0.029  , -0.004 , -0.087 , -0.000 , -0.001 , 0.033  , 0.007  
0.66481 ,-0.02929, -0.044 , -0.017 , 0.049  , 0.029  , 0.044  , 0.017  , -0.049 , -0.000 , -0.002 , 0.032  , 0.009  
0.67884 ,-0.01464, -0.044 , -0.046 , 0.082  , 0.015  , 0.044  , 0.046  , -0.082 , -0.000 , -0.002 , 0.015  , 0.013  
0.69278 ,-0.02929, -0.029 , -0.094 , 0.070  , 0.029  , 0.029  , 0.094  , -0.070 , -0.000 , -0.002 , 0.015  , 0.007  
0.70578 ,-0.02929, -0.044 , -0.122 , 0.069  , 0.029  , 0.044  , 0.122  , -0.069 , 0.000  , -0.002 , 0.021  , 0.012  
0.71878 ,-0.01464, -0.029 , -0.092 , 0.071  , 0.015  , 0.029  , 0.092  , -0.071 , 0.000  , -0.002 , 0.017  , 0.011  
0.73179 ,-0.02929, -0.029 , -0.086 , 0.104  , 0.029  , 0.029  , 0.086  , -0.104 , 0.000  , -0.002 , 0.022  , 0.017  
0.74478 ,-0.02929, -0.029 , -0.060 , 0.077  , 0.029  , 0.029  , 0.060  , -0.077 , 0.000  , -0.002 , 0.016  , 0.010  
0.75778 ,-0.02929, -0.044 , -0.009 , 0.062  , 0.029  , 0.044  , 0.009  , -0.062 , 0.000  , -0.002 , 0.013  , 0.011  
0.77080 ,-0.02929, -0.029 , -0.001 , 0.074  , 0.029  , 0.029  , 0.001  , -0.074 , 0.000  , -0.002 , 0.014  , 0.009  
0.79479 ,-0.02929, -0.029 , 0.053  , 0.062  , 0.029  , 0.029  , -0.053 , -0.062 , 0.000  , -0.002 , 0.020  , 0.016  
0.80778 ,-0.02929, -0.029 , 0.056  , 0.036  , 0.029  , 0.029  , -0.056 , -0.036 , -0.000 , -0.002 , 0.020  , 0.016  
0.82078 ,-0.02929, -0.029 , 0.048  , 0.062  , 0.029  , 0.029  , -0.048 , -0.062 , -0.000 , -0.001 , 0.018  , 0.018  
0.83378 ,-0.02929, -0.029 , 0.055  , 0.093  , 0.029  , 0.029  , -0.055 , -0.093 , -0.000 , -0.001 , 0.016  , 0.016  
0.84679 ,-0.02929, -0.029 , 0.059  , 0.065  , 0.029  , 0.029  , -0.059 , -0.065 , -0.001 , -0.001 , 0.016  , 0.019  
0.86088 ,-0.02929, -0.029 , 0.045  , 0.084  , 0.029  , 0.029  , -0.045 , -0.084 , -0.001 , -0.001 , 0.019  , 0.017  
0.87779 ,-0.02929, -0.029 , 0.053  , 0.095  , 0.029  , 0.029  , -0.053 , -0.095 , -0.001 , -0.001 , 0.017  , 0.017  
0.89279 ,-0.02929, -0.029 , 0.060  , 0.134  , 0.029  , 0.029  , -0.060 , -0.134 , -0.001 , -0.001 , 0.015  , 0.017  
