L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,L_Ref_Ang,R_Ref_Ang,L_Ref_Vel,R_Ref_Vel,Peak,Time
0.672922865644324,-0.3323414969100611,0.524910353246355,0.2075226977950706,-0.0015226512224785786,-0.0006006485429565322,0.010087009000778198,0.0053177346050739295,0.03831845578698392,0.015149156939040153,0,1.9073486328125e-06
0.672922865644324,-0.3323414969100611,0.5004959182116409,0.1831082627603564,-0.004270667652602309,-0.0016385386312931273,0.024200323288421633,0.01632675666749835,0.10737169939726825,0.04137163469901564,0,0.011645078659057617
0.672922865644324,-0.3268482490272504,0.4516670481422125,0.1831082627603564,-0.006386622560743471,-0.002441981271924778,0.029888205077518017,0.028356936292501383,0.16041276914552474,0.06175845520543199,0,0.020778656005859375
0.6674296177615133,-0.3268482490272504,0.4028381780727841,0.1831082627603564,-0.007875736470280496,-0.003116526738715588,0.032417992002451,0.03671994513770466,0.19770386155707367,0.07883116709633231,0,0.030727624893188477
0.6674296177615133,-0.3268482490272504,0.3540093080033557,0.1831082627603564,-0.008819499956564414,-0.0036813509882977933,0.034011936118673196,0.03782496783502515,0.22133779731707717,0.09297939890332045,0,0.04095029830932617
0.6674296177615133,-0.3213550011444397,0.30518043793392735,0.1831082627603564,-0.009291687294941479,-0.0041450183605463205,0.035399462431148776,0.03706231928170994,0.2331771689343157,0.10455201699570077,0,0.05073261260986328
0.6619363698787026,-0.3213550011444397,0.256351567864499,0.13427939269092803,-0.009359961857343661,-0.0043726949884428405,0.03514561358929306,0.039170871551486436,0.23487768677332385,0.11029664649985818,0,0.06078338623046875
0.6619363698787026,-0.30487525749600763,0.2075226977950706,0.10986495765621385,-0.009081645488266494,-0.0043272132198709035,0.03472478182274138,0.042776449369392955,0.2279092567522309,0.1092497417310074,0,0.0707252025604248
0.6619363698787026,-0.30487525749600763,0.1831082627603564,0.10986495765621385,-0.008578867621713481,-0.004194651462788975,0.03542271774554712,0.04424665844611658,0.21535725848647572,0.10597245303087728,0,0.08078145980834961
0.6674296177615133,-0.30487525749600763,0.13427939269092803,0.10986495765621385,-0.007888685413239204,-0.004060064704558886,0.035529409697443406,0.04355418585816742,0.1981053705734162,0.10259047226042632,0,0.09072136878967285
0.6674296177615133,-0.29388876173038625,0.10986495765621385,0.13427939269092803,-0.007042550920202606,-0.00399353843799647,0.034816771642028725,0.04325870778296771,0.17693419229611587,0.10091992864448596,0,0.10077166557312012
0.6784161135271347,-0.29388876173038625,0.13427939269092803,0.1831082627603564,-0.006281559653306068,-0.004127362569020427,0.03359038156773265,0.04403019126633435,0.15787875087184502,0.10428481900716903,0,0.11086559295654297
0.6839093614099454,-0.29388876173038625,0.15869382772564222,0.2319371328297848,-0.005739202577019523,-0.004504083220021745,0.03278433244641234,0.044485595639606385,0.1442996727366484,0.11371422039153377,0,0.12078475952148438
0.6839093614099454,-0.29388876173038625,0.1831082627603564,0.256351567864499,-0.005386698595041838,-0.005015838286474518,0.032207061613908704,0.04372992050022904,0.13547264141639367,0.12648920517436868,0,0.13074803352355957
0.6839093614099454,-0.28839551384757556,0.2319371328297848,0.30518043793392735,-0.0052701289150378665,-0.005639287337574772,0.03127651338518852,0.04276827528648361,0.13253513571057637,0.14205139032153138,0,0.1407926082611084
0.7058823529411882,-0.29388876173038625,0.28076600289921316,0.30518043793392735,-0.005427004643986648,-0.006282667967225664,0.03004671085200046,0.042383133735252,0.1364262838709662,0.1581262775240229,0,0.15095734596252441
0.7113756008239989,-0.29938200961319694,0.30518043793392735,0.28076600289921316,-0.005744987706716864,-0.00672618180868671,0.028857502325826536,0.04197380730347607,0.14434613022606727,0.16920389039975464,0,0.16059660911560059
0.7058823529411882,-0.29938200961319694,0.30518043793392735,0.28076600289921316,-0.006056034647102719,-0.006997135999377145,0.027918194467274844,0.040960176710230445,0.15209882103924985,0.17595240440218438,0,0.17046141624450684
0.7058823529411882,-0.29938200961319694,0.28076600289921316,0.28076600289921316,-0.006217092661297514,-0.0071902580029155365,0.026971218284050264,0.03968487658236913,0.1561015969895391,0.18074857198744762,0,0.1805737018585205
0.7058823529411882,-0.29938200961319694,0.28076600289921316,0.28076600289921316,-0.006249337412115454,-0.007315322192565833,0.02584480339272853,0.038712270477766875,0.15687955538770457,0.18385086157608999,0,0.19046235084533691
0.7058823529411882,-0.29938200961319694,0.28076600289921316,0.256351567864499,-0.006242547385828646,-0.0073104044363632385,0.024699498209165803,0.03787930833863528,0.15668117210094532,0.18370709361754683,0,0.20064449310302734
0.7058823529411882,-0.29938200961319694,0.28076600289921316,0.2319371328297848,-0.006202273476749365,-0.007123643369713474,0.02372598281739739,0.03673282525414043,0.15564998648916906,0.17900940487419037,0,0.2104642391204834
0.6839093614099454,-0.29938200961319694,0.28076600289921316,0.1831082627603564,-0.006133699634919982,-0.006711286449379713,0.022827402378439738,0.03534538738345355,0.15391317593246054,0.16866579591907915,0,0.22093462944030762
0.6784161135271347,-0.29938200961319694,0.2319371328297848,0.13427939269092803,-0.005898904154762906,-0.006036857488298715,0.02184528736825533,0.034128215814372385,0.148018736053279,0.1517746426028272,0,0.23120975494384766
0.6839093614099454,-0.29938200961319694,0.15869382772564222,0.08545052262149966,-0.0053095217194997785,-0.005142258024638332,0.020835205160474653,0.03310729500023981,0.13325892311650633,0.12938413299096432,0,0.24127960205078125
