t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-1.95834, -0.640 , -4.041 , -1.990 , 0.000  , 0.000  , -0.065 , 0.091  , 0.008  , 0.004  , 0.003  , 0.000  
0.02031 ,-1.84848, -0.640 , -3.210 , -2.039 , 0.103  , 0.044  , 0.412  , 0.174  , 0.021  , 0.011  , 0.004  , 0.001  
0.03540 ,-1.84848, -0.640 , -2.527 , -2.820 , 0.103  , 0.044  , 0.365  , 0.160  , 0.028  , 0.019  , 0.045  , 0.015  
0.05060 ,-1.82101, -0.618 , -2.551 , -2.454 , 0.117  , 0.044  , 0.322  , 0.159  , 0.034  , 0.026  , 0.038  , 0.012  
0.06579 ,-1.71115, -0.618 , -1.941 , -0.989 , 0.117  , 0.044  , 0.368  , 0.156  , 0.037  , 0.028  , 0.034  , 0.013  
0.08078 ,-1.55184, -0.530 , -0.720 , 0.916  , 0.220  , 0.044  , 0.899  , 0.150  , 0.036  , 0.024  , 0.031  , 0.013  
0.09570 ,-1.51888, -0.448 , 0.720  , 2.869  , 0.396  , 0.044  , 2.304  , 0.104  , 0.030  , 0.013  , 0.009  , 0.012  
0.11056 ,-1.60678, -0.448 , 1.331  , 3.723  , 0.659  , 0.059  , 4.310  , 0.124  , 0.021  , -0.003 , 0.010  , 0.016  
0.12550 ,-1.60678, -0.448 , 0.842  , 3.992  , 0.938  , 0.073  , 6.418  , 0.217  , 0.012  , -0.018 , -0.004 , 0.014  
0.14321 ,-1.76608, -0.217 , -0.549 , 5.090  , 1.216  , 0.176  , 8.210  , 0.962  , 0.009  , -0.033 , 0.005  , 0.014  
0.16794 ,-1.88693, -0.058 , -1.160 , 6.018  , 1.699  , 0.513  , 10.670 , 3.620  , 0.009  , -0.050 , 0.004  , 0.005  
0.18883 ,-1.85946, -0.058 , -0.549 , 5.701  , 2.080  , 0.791  , 12.179 , 5.585  , 0.010  , -0.066 , 0.008  , 0.001  
0.21110 ,-1.85946, -0.129 , -0.183 , 4.431  , 2.476  , 1.055  , 13.398 , 7.012  , 0.009  , -0.075 , -0.005 , 0.003  
0.22917 ,-1.89792, -0.129 , -0.427 , 2.795  , 2.739  , 1.274  , 13.735 , 7.910  , 0.007  , -0.078 , -0.005 , 0.005  
0.25202 ,-1.91989, -0.261 , -1.209 , 1.599  , 2.988  , 1.523  , 13.273 , 8.632  , 0.008  , -0.074 , -0.001 , 0.004  
0.27257 ,-1.96933, -0.277 , -1.721 , 0.159  , 3.179  , 1.699  , 12.312 , 8.706  , 0.011  , -0.065 , 0.014  , 0.003  
0.29160 ,-1.96933, -0.294 , -1.282 , -0.623 , 3.311  , 1.787  , 11.330 , 8.090  , 0.013  , -0.053 , -0.008 , -0.004 
0.31133 ,-1.97482, -0.299 , -0.281 , -0.964 , 3.457  , 1.787  , 10.578 , 6.596  , 0.013  , -0.040 , -0.002 , -0.009 
0.33216 ,-2.02976, -0.299 , 0.525  , -0.867 , 3.604  , 1.802  , 9.886  , 5.268  , 0.009  , -0.028 , 0.023  , -0.005 
0.35206 ,-2.02976, -0.250 , 0.403  , -0.574 , 3.750  , 1.787  , 9.396  , 4.236  , 0.004  , -0.019 , 0.012  , -0.010 
0.37216 ,-2.21103, -0.239 , 0.500  , -0.330 , 3.911  , 1.802  , 9.022  , 3.395  , -0.000 , -0.012 , -0.003 , -0.011 
0.39215 ,-2.21103, -0.228 , 1.038  , -0.110 , 4.043  , 1.802  , 8.670  , 2.725  , -0.005 , -0.006 , 0.017  , -0.012 
0.40493 ,-2.39231, -0.222 , 1.501  , -0.012 , 4.146  , 1.802  , 8.523  , 2.352  , -0.011 , -0.002 , 0.016  , -0.008 
0.41934 ,-2.39231, -0.222 , 1.819  , 0.037  , 4.233  , 1.787  , 8.229  , 2.023  , -0.017 , 0.001  , 0.000  , -0.007 
