t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-1.37057, -1.848 , 0.305  , 0.281  , 0.000  , 0.000  , -0.102 , 0.193  , -0.001 , -0.001 , 0.001  , -0.000 
0.15768 ,-1.22225, -1.772 , 0.500  , 0.330  , 0.103  , 0.029  , 0.023  , -0.017 , -0.002 , -0.002 , 0.001  , -0.000 
0.17459 ,-1.22225, -1.772 , 0.574  , 0.427  , 0.103  , 0.029  , 0.054  , -0.075 , -0.004 , -0.003 , 0.017  , -0.009 
0.18967 ,-1.22225, -1.772 , 0.623  , 0.525  , 0.103  , 0.029  , 0.059  , -0.075 , -0.006 , -0.004 , 0.017  , -0.007 
0.20429 ,-1.18929, -1.728 , 0.623  , 0.598  , 0.103  , 0.029  , 0.038  , -0.087 , -0.007 , -0.006 , 0.020  , -0.009 
0.21933 ,-1.16182, -1.711 , 0.647  , 0.647  , 0.103  , 0.015  , 0.047  , -0.171 , -0.008 , -0.007 , 0.021  , -0.010 
0.23481 ,-1.12886, -1.711 , 0.647  , 0.696  , 0.103  , 0.015  , 0.029  , -0.160 , -0.009 , -0.009 , 0.020  , -0.011 
0.24912 ,-1.10140, -1.711 , 0.623  , 0.720  , 0.103  , 0.015  , 0.043  , -0.171 , -0.010 , -0.010 , 0.017  , -0.013 
0.26423 ,-1.10140, -1.700 , 0.574  , 0.671  , 0.103  , 0.015  , 0.016  , -0.127 , -0.011 , -0.011 , 0.017  , -0.014 
0.27917 ,-1.05196, -1.673 , 0.549  , 0.574  , 0.103  , 0.015  , 0.006  , -0.043 , -0.011 , -0.011 , 0.014  , -0.013 
0.29424 ,-1.05196, -1.673 , 0.574  , 0.452  , 0.103  , 0.015  , -0.000 , -0.004 , -0.011 , -0.011 , 0.016  , -0.013 
0.30934 ,-0.95857, -1.601 , 0.842  , 0.525  , 0.103  , 0.015  , -0.005 , 0.037  , -0.012 , -0.011 , 0.018  , -0.015 
0.32430 ,-0.87617, -1.601 , 1.282  , 0.720  , 0.103  , 0.029  , 0.012  , 0.093  , -0.014 , -0.011 , 0.018  , -0.019 
0.33922 ,-0.87617, -1.524 , 1.770  , 1.184  , 0.103  , 0.044  , 0.005  , 0.123  , -0.017 , -0.013 , 0.019  , -0.020 
0.35390 ,-0.77180, -1.524 , 2.405  , 1.648  , 0.088  , 0.029  , -0.002 , 0.102  , -0.022 , -0.016 , 0.019  , -0.015 
0.36898 ,-0.70039, -1.349 , 3.284  , 2.161  , 0.103  , 0.029  , -0.016 , 0.074  , -0.029 , -0.020 , 0.014  , -0.012 
